id	        Ticker        	 Exchange 	Currency	 Dividend 	Distribution	 Yield  	30-Day SEC	 Payable  	  Record  	Ex-Dividend 	Timestamp 	          Fund           
160	AGX                   	NYSE    	     USD	   0.5000	quarterly   	12.790	          	2020-04-30	2020-04-23	2020-04-22	2020-04-09 16:16    	Safe Bulkers Cum Red Perp Pfd Shs Series D                                 
161	SB.PC                 	NYSE    	     USD	   0.2500	quarterly   	 2.640	          	2020-04-30	2020-04-22	2020-04-21	2020-04-09 16:16    	Argan                                                                      
162	PEO                   	NYSE    	     USD	   0.5000	quarterly   	12.800	          	2020-04-30	2020-04-23	2020-04-22	2020-04-09 16:16    	Safe Bulkers Cum Red Perp Pfd Shs Series C                                 
163	ADX                   	NYSE    	     USD	   0.1000	quarterly   	 4.050	          	2020-06-01	2020-05-18	2020-05-15	2020-04-09 16:15    	Adams Natural Resources Fund                                               
164	COKE                  	NYSE    	     USD	   0.0500	quarterly   	 1.470	          	2020-06-01	2020-05-18	2020-05-15	2020-04-09 16:14    	Adams Diversified Equity Fund                                              
165	KBH                   	NASDAQ  	     USD	   0.2500	quarterly   	 0.400	          	2020-05-07	2020-04-23	2020-04-22	2020-04-09 16:12    	Coca-Cola Consolidated                                                     
166	STAG                  	NYSE    	     USD	   0.0900	quarterly   	 1.590	          	2020-05-21	2020-05-07	2020-05-06	2020-04-09 16:11    	KB Home                                                                    
167	QNTO                  	NYSE    	     USD	   0.1200	monthly     	 5.290	          	2020-07-15	2020-06-30	2020-06-29	2020-04-09 16:08    	STAG Industrial                                                            
168	VCIF                  	OTCQX   	     USD	   0.0900	quarterly   	 3.500	          	2020-05-04	2020-04-20	2020-04-17	2020-04-09 15:05    	Quaint Oak Bancorp                                                         
169	SPSAF  | SPPSY        	NYSE    	     USD	   0.0250	monthly     	 3.360	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 13:03    	Vertical Capital Income Fund                                               
170	THW                   	OTC     	        	         	            	      	          	          	          	          	2020-04-09 12:09    	Due to Covid-19 crisis, Sopra Steria                                       
171	THQ                   	NYSE    	     USD	   0.1167	monthly     	11.110	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 10:56    	Tekla World Healthcare Fund                                                
172	XLF  | FAS  | FAZ     	NYSE    	     USD	   0.1125	monthly     	 7.960	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 10:55    	Tekla Healthcare Opportunities Fund                                        
173	SUUIF                 	April 9)	        	         	            	      	          	          	          	          	2020-04-09 10:30    	Unlike some other central banks, Fed Chair Powell isn't urging banks to sto
174	SM                    	OTCPK   	     CAD	   0.0600	monthly     	 8.100	          	2020-05-15	2020-04-30	2020-04-29	2020-04-09 09:30    	Superior Plus                                                              
175	BIBLF                 	NYSE    	     USD	   0.0100	semi annual 	 1.300	          	2020-05-08	2020-04-24	2020-04-23	2020-04-09 09:25    	SM Energy                                                                  
176	CSWI                  	OTCPK   	     CAD	   0.0263	quarterly   	 3.870	          	2020-05-29	2020-05-15	2020-05-14	2020-04-09 09:22    	Waterloo Brewing                                                           
177	CPLG                  	NASDAQ  	     USD	   0.1350	quarterly   	 0.800	          	2020-05-13	2020-05-01	2020-04-30	2020-04-09 09:20    	CSW Industrials                                                            
178	ARDC                  	NYSE    	        	         	            	      	          	          	          	          	2020-04-09 08:14    	CorePoint Lodging                                                          
179	TT                    	NYSE    	     USD	   0.0975	monthly     	11.010	          	2020-04-30	2020-04-21	2020-04-20	2020-04-09 07:52    	Ares Dynamic Credit Allocation Fund                                        
180	GFL                   	NYSE    	     USD	   0.5300	quarterly   	 2.410	          	2020-06-30	2020-06-05	2020-06-04	2020-04-09 07:45    	Trane Technologies                                                         
181	GLQ                   	NYSE    	     USD	   0.0100	quarterly   	 0.290	          	2020-04-30	2020-04-20	2020-04-17	2020-04-09 06:12    	GFL Environmental                                                          
182	GLO                   	NYSEMKT 	     USD	   0.1104	monthly     	14.380	          	2020-06-30	2020-06-19	2020-06-18	2020-04-09 06:08    	Clough Global Equity Fund                                                  
183	GLV                   	NYSEMKT 	     USD	   0.0897	monthly     	14.950	          	2020-06-30	2020-06-19	2020-06-18	2020-04-09 06:07    	Clough Global Opportunities Fund                                           
184	ORC                   	NYSEMKT 	     USD	   0.1008	monthly     	14.500	          	2020-06-30	2020-06-19	2020-06-18	2020-04-09 06:05    	Clough Global Allocation Fund                                              
185	ETR                   	NYSE    	     USD	   0.0550	monthly     	23.400	          	2020-05-27	2020-04-30	2020-04-29	2020-04-09 06:03    	Orchid Island Capital                                                      
186	AGNC                  	NYSE    	     USD	   0.9300	quarterly   	 3.970	          	2020-06-01	2020-05-07	2020-05-06	2020-04-09 06:02    	Entergy                                                                    
187	AGNC                  	NASDAQ  	        	         	            	      	          	          	          	          	2020-04-08 17:22    	AGNC Investment                                                            
188	RELL                  	NASDAQ  	        	   0.1200	monthly     	12.780	          	2020-05-11	2020-04-30	2020-04-29	2020-04-08 17:11    	AGNC Investment                                                            
189	ALLE                  	NASDAQ  	     USD	   0.0600	quarterly   	 6.650	          	2020-05-27	2020-05-06	2020-05-05	2020-04-08 17:02    	Richardson Electronics                                                     
190	QADB                  	NYSE    	     USD	   0.3200	quarterly   	 1.380	          	2020-06-30	2020-06-16	2020-06-15	2020-04-08 17:01    	Allegion                                                                   
191	QADA                  	NASDAQ  	     USD	   0.0600	quarterly   	 0.800	          	2020-04-29	2020-04-22	2020-04-21	2020-04-08 16:33    	QAD                                                                        
192	ADP                   	NASDAQ  	     USD	   0.0720	quarterly   	 0.680	          	2020-04-29	2020-04-22	2020-04-21	2020-04-08 16:08    	QAD                                                                        
193	SBFFF  | SBFFY        	NASDAQ  	     USD	   0.9100	quarterly   	 2.650	          	2020-07-01	2020-06-12	2020-06-11	2020-04-08 14:33    	Automatic Data Processing                                                  
194	BGH                   	OTCPK   	     EUR	   0.7450	            	      	          	2020-05-06	2020-04-15	2020-04-14	2020-04-08 14:10    	SBM Offshore                                                               
195	CBH                   	NYSE    	     USD	   0.1056	monthly     	11.550	          	2020-07-01	2020-06-22	2020-06-19	2020-04-08 13:33    	Barings Global Short                                                       
196	CAT                   	NYSE    	     USD	   0.0460	monthly     	      	          	2020-05-01	2020-04-13	2020-04-09	2020-04-08 11:21    	AllianzGI Convertible &amp; Income 2024 Target Term Fund                   
197	AIO                   	NYSE    	        	         	            	      	          	          	          	          	2020-04-08 11:08    	The Caterpillar                                                            
198	ACV                   	NYSE    	     USD	   0.1083	monthly     	      	          	2020-05-01	2020-04-13	2020-04-09	2020-04-08 10:08    	AllianzGI Artificial Intelligence &amp; Technology Opportunities Fund      
199	APMCF                 	NYSE    	     USD	   0.1670	monthly     	      	          	2020-05-01	2020-04-13	2020-04-09	2020-04-08 09:51    	AllianzGI Diversified Income &amp; Convertible Fund                        
